address,category,city,customer_company,shippers_company,customer,country,order_date,order_id,phone,postal_code,product,state_province,discount,freight,quantity,qunatity_per_unit,unit_cost,unit_price,unit_price_products,units_in_stock,unit_on_order,sales,profit,city_and_country
35 King George,Молочные продукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-11-25,10553,(171) 555-0297,WX1 6LT,Творожный сырок,,0.0,74.82,6,14,5.17,6.25,6.0,20,0,37.5,6.48,"Лондон, Англия"
35 King George,Мясо/Птица,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-11-25,10553,(171) 555-0297,WX1 6LT,Курица,,0.0,74.82,24,90,2.65,3.28,3.5,104,0,78.72,15.12,"Лондон, Англия"
"Suite 3B""",Овощи,Сиэттл,Нирвана,ТрансАвтоГруз,Alice Chain,США,2004-11-26,10269,(206) 555-4112,98128,Перец болгарский,Washington,0.05,54.26,20,30,8.96,12.17,11.8,14,0,243.4,64.2,"Сиэттл, США"
"Suite 3B""",Кондитерские изделия,Сиэттл,Нирвана,ТрансАвтоГруз,Alice Chain,США,2004-11-26,10269,(206) 555-4112,98128,Десер Фруктовый,Washington,0.05,54.26,60,25,20.2,27.4,25.5,112,0,1644.0,432.0,"Сиэттл, США"
"12 Brewery""",Мясо/Птица,Лондон,Алми,ТрансАвтоГруз,Ian Wright,Англия,2004-11-26,10462,(171) 555-2282,WX1 6LT,Индейка,,0.0,70.53,21,100,7.43,8.5,9.0,61,0,178.5,22.47,"Лондон, Англия"
"12 Brewery""",Приправы,Лондон,Алми,ТрансАвтоГруз,Ian Wright,Англия,2004-11-26,10462,(171) 555-2282,WX1 6LT,Корица,,0.0,70.53,1,25,21.11,27.09,25.0,24,0,27.09,5.98,"Лондон, Англия"
2732 Baker Blvd.,Фрукты,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2004-11-28,10370,(503) 555-7555,97403,Банан,Oregon,0.15,29.05,15,10,15.37,21.56,20.0,39,0,323.4,92.85,"Юджин, США"
2732 Baker Blvd.,Мясо/Птица,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2004-11-28,10370,(503) 555-7555,97403,Фарш говяжий,Oregon,0.0,29.05,30,1,29.25,34.02,33.25,22,80,1020.6,143.1,"Юджин, США"
2732 Baker Blvd.,Крупы,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2004-11-28,10370,(503) 555-7555,97403,Овсянная крупа,Oregon,0.15,29.05,20,30,24.39,32.64,30.0,4,20,652.8,165.0,"Юджин, США"
Kirchgasse 6,Овощи,Грац,Фруктовый базар,ТрансСервис,Lars Saalbach,Австрия,2004-11-28,10402,7675-3425,8010,Кабачок,,0.0,46.63,65,68,15.9,18.94,19.9,24,0,1231.1,197.6,"Грац, Австрия"
Kirchgasse 6,Мясо/Птица,Грац,Фруктовый базар,ТрансСервис,Lars Saalbach,Австрия,2004-11-28,10402,7675-3425,8010,Индейка,,0.0,46.63,60,100,7.43,9.07,9.0,61,0,544.2,98.4,"Грац, Австрия"
2732 Baker Blvd.,Фрукты,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2004-12-01,10528,(503) 555-7555,97403,Киви,Oregon,0.0,25.64,3,25,21.1,29.37,28.0,22,30,88.11,24.81,"Юджин, США"
2732 Baker Blvd.,Овощи,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2004-12-01,10528,(503) 555-7555,97403,Перец болгарский,Oregon,0.0,25.64,9,30,8.96,10.66,11.8,14,0,95.94,15.3,"Юджин, США"
2732 Baker Blvd.,Кондитерские изделия,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2004-12-01,10528,(503) 555-7555,97403,Десер Фруктовый,Oregon,0.2,25.64,8,25,20.2,27.23,25.5,112,0,217.84,56.24,"Юджин, США"
43 rue St. Laurent,Кондитерские изделия,Монреаль,Давенпорт,АвтоЛогистика,James Belucci,Канада,2004-12-02,10439,(514) 555-8054,H1J 1C3,Печенье сдобное,Quebec,0.0,63.71,16,24,7.33,9.98,9.45,29,0,159.68,42.4,"Монреаль, Канада"
43 rue St. Laurent,Молочные продукты,Монреаль,Давенпорт,АвтоЛогистика,James Belucci,Канада,2004-12-02,10439,(514) 555-8054,H1J 1C3,Йогурт 5%,Quebec,0.0,63.71,15,20,7.92,10.22,10.0,86,0,153.3,34.5,"Монреаль, Канада"
43 rue St. Laurent,Мясо/Птица,Монреаль,Давенпорт,АвтоЛогистика,James Belucci,Канада,2004-12-02,10439,(514) 555-8054,H1J 1C3,Фарш говяжий,Quebec,0.0,63.71,6,1,29.25,35.02,33.25,22,80,210.12,34.62,"Монреаль, Канада"
43 rue St. Laurent,Крупы,Монреаль,Давенпорт,АвтоЛогистика,James Belucci,Канада,2004-12-02,10439,(514) 555-8054,H1J 1C3,Овсянная крупа,Quebec,0.0,63.71,30,30,24.39,32.85,30.0,4,20,985.5,253.8,"Монреаль, Канада"
Carrera 22 con Ave. Carlos Soublette #8-35,Фрукты,Сан Кристобаль,Дешевые продукты,ТрансАвтоГруз,Nicolas Balines,Венесуэла,2004-12-02,10498,(5) 555-1340,5022,Абрикос,,0.0,48.66,14,100,3.9,4.9,4.5,20,0,68.6,14.0,"Сан Кристобаль, Венесуэла"
Carrera 22 con Ave. Carlos Soublette #8-35,Мясо/Птица,Сан Кристобаль,Дешевые продукты,ТрансАвтоГруз,Nicolas Balines,Венесуэла,2004-12-02,10498,(5) 555-1340,5022,Утка,,0.0,48.66,30,1,10.95,15.1,14.0,26,0,453.0,124.5,"Сан Кристобаль, Венесуэла"
Carrera 22 con Ave. Carlos Soublette #8-35,Приправы,Сан Кристобаль,Дешевые продукты,ТрансАвтоГруз,Nicolas Balines,Венесуэла,2004-12-02,10498,(5) 555-1340,5022,Имбирь,,0.0,48.66,5,1,16.34,18.0,18.4,123,0,90.0,8.3,"Сан Кристобаль, Венесуэла"
Maubelstr. 90,Фрукты,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2004-12-04,10325,0555-09876,14776,Груша,,0.0,43.29,4,20,7.53,7.8,8.5,0,70,31.2,1.08,"Бранденбург, Германия"
Maubelstr. 90,Овощи,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2004-12-04,10325,0555-09876,14776,Лук,,0.0,43.29,6,50,3.21,3.71,4.0,120,0,22.26,3.0,"Бранденбург, Германия"
Maubelstr. 90,Овощи,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2004-12-04,10325,0555-09876,14776,Перец болгарский,,0.0,43.29,40,30,8.96,10.96,11.8,14,0,438.4,80.0,"Бранденбург, Германия"
Maubelstr. 90,Крупы,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2004-12-04,10325,0555-09876,14776,Пшенная крупа,,0.0,43.29,9,21,20.36,21.14,23.25,35,0,190.26,7.02,"Бранденбург, Германия"
Maubelstr. 90,Приправы,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2004-12-04,10325,0555-09876,14776,Корица,,0.0,43.29,12,25,21.11,23.09,25.0,24,0,277.08,23.76,"Бранденбург, Германия"
Grenzacherweg 237,Фрукты,Женева,Кухня,ТрансСервис,Carl Perry,Швейцария,2004-12-09,10537,0897-034214,1203,Груша,,0.0,36.46,30,20,7.53,8.0,8.5,0,70,240.0,14.1,"Женева, Швейцария"
Grenzacherweg 237,Овощи,Женева,Кухня,ТрансСервис,Carl Perry,Швейцария,2004-12-09,10537,0897-034214,1203,Перец болгарский,,0.0,36.46,21,30,8.96,11.12,11.8,14,0,233.52,45.36,"Женева, Швейцария"
Grenzacherweg 237,Морепродукты,Женева,Кухня,ТрансСервис,Carl Perry,Швейцария,2004-12-09,10537,0897-034214,1203,Мидии,,0.0,36.46,6,10,82.74,92.14,99.9,20,0,552.84,56.4,"Женева, Швейцария"
Grenzacherweg 237,Приправы,Женева,Кухня,ТрансСервис,Carl Perry,Швейцария,2004-12-09,10537,0897-034214,1203,Лавровый лист,,0.0,36.46,9,100,0.89,1.04,1.1,101,0,9.36,1.35,"Женева, Швейцария"
Grenzacherweg 237,Приправы,Женева,Кухня,ТрансСервис,Carl Perry,Швейцария,2004-12-09,10537,0897-034214,1203,Бадьян,,0.0,36.46,20,20,37.17,52.17,48.25,62,0,1043.4,300.0,"Женева, Швейцария"
Taucherstra?e 10,Кондитерские изделия,Кюневальд,Грюнвальд,ТрансАвтоГруз,George Essen,Германия,2004-12-18,10515,0372-035188,1307,Печенье сдобное,,0.0,66.26,50,24,7.33,8.68,9.45,29,0,434.0,67.5,"Кюневальд, Германия"
Taucherstra?e 10,Кондитерские изделия,Кюневальд,Грюнвальд,ТрансАвтоГруз,George Essen,Германия,2004-12-18,10515,0372-035188,1307,Пирожное с черносливом,,0.0,66.26,120,1,36.06,41.7,43.9,49,0,5004.0,676.8,"Кюневальд, Германия"
Taucherstra?e 10,Кондитерские изделия,Кюневальд,Грюнвальд,ТрансАвтоГруз,George Essen,Германия,2004-12-18,10515,0372-035188,1307,Десер Фруктовый,,0.15,66.26,16,25,20.2,28.01,25.5,112,0,448.16,124.96,"Кюневальд, Германия"
Taucherstra?e 10,Кондитерские изделия,Кюневальд,Грюнвальд,ТрансАвтоГруз,George Essen,Германия,2004-12-18,10515,0372-035188,1307,Сладкий снек,,0.15,66.26,84,53,4.44,5.35,5.0,19,0,449.4,76.44,"Кюневальд, Германия"
Taucherstra?e 10,Морепродукты,Кюневальд,Грюнвальд,ТрансАвтоГруз,George Essen,Германия,2004-12-18,10515,0372-035188,1307,Омары,,0.15,66.26,16,10,32.9,42.05,39.0,29,0,672.8,146.4,"Кюневальд, Германия"
Plaza de Mayo 6,Кондитерские изделия,Буэнос Айрес,Минимарт,ТрансАвтоГруз,Victoria Abril,Аргентина,2004-12-24,10521,(1) 135-5555,1010,Сладкий батончик,,0.0,49.83,6,1,9.67,12.78,12.5,6,10,76.68,18.66,"Буэнос Айрес, Аргентина"
Plaza de Mayo 6,Молочные продукты,Буэнос Айрес,Минимарт,ТрансАвтоГруз,Victoria Abril,Аргентина,2004-12-24,10521,(1) 135-5555,1010,Творожный сырок,,0.0,49.83,3,14,5.17,6.24,6.0,20,0,18.72,3.21,"Буэнос Айрес, Аргентина"
Plaza de Mayo 6,Приправы,Буэнос Айрес,Минимарт,ТрансАвтоГруз,Victoria Abril,Аргентина,2004-12-24,10521,(1) 135-5555,1010,Зира,,0.0,49.83,10,1,7.28,9.63,9.65,85,0,96.3,23.5,"Буэнос Айрес, Аргентина"
Magazinweg 7,Фрукты,Франкфурт,ВАРП АГ,ТрансАвтоГруз,Klaus Deum,Германия,2004-12-25,10522,069-0245984,60528,Банан,,0.2,38.79,40,10,15.37,21.63,20.0,39,0,865.2,250.4,"Франкфурт, Германия"
Magazinweg 7,Овощи,Франкфурт,ВАРП АГ,ТрансАвтоГруз,Klaus Deum,Германия,2004-12-25,10522,069-0245984,60528,Картофель Сорт 1,,0.0,38.79,24,20,16.14,20.93,20.0,6,0,502.32,114.96,"Франкфурт, Германия"
Magazinweg 7,Приправы,Франкфурт,ВАРП АГ,ТрансАвтоГруз,Klaus Deum,Германия,2004-12-25,10522,069-0245984,60528,Прованские травы,,0.2,38.79,20,1,22.71,25.88,25.89,10,0,517.6,63.4,"Франкфурт, Германия"
Magazinweg 7,Приправы,Франкфурт,ВАРП АГ,ТрансАвтоГруз,Klaus Deum,Германия,2004-12-25,10522,069-0245984,60528,Имбирь,,0.2,38.79,25,1,16.34,18.25,18.4,123,0,456.25,47.75,"Франкфурт, Германия"
8 Johnstown Road,Фрукты,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2004-12-27,10567,2 967 542,125 80,Груша,,0.2,40.24,60,20,7.53,8.67,8.5,0,70,520.2,68.4,"Корк, Ирландия"
35 King George,Кондитерские изделия,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-12-27,10400,(171) 555-0297,WX1 6LT,Десерт творожный,,0.0,49.41,30,1,15.43,21.55,20.0,10,60,646.5,183.6,"Лондон, Англия"
8 Johnstown Road,Кондитерские изделия,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2004-12-27,10567,2 967 542,125 80,Чупа-Чупс,,0.2,40.24,40,105,6.69,8.06,8.5,79,0,322.4,54.8,"Корк, Ирландия"
35 King George,Молочные продукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-12-27,10400,(171) 555-0297,WX1 6LT,Творожный сырок,,0.0,49.41,35,14,5.17,5.8,6.0,20,0,203.0,22.05,"Лондон, Англия"
35 King George,Морепродукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-12-27,10400,(171) 555-0297,WX1 6LT,Креветки,,0.0,49.41,21,1,100.74,121.65,123.79,0,0,2554.65,439.11,"Лондон, Англия"
8 Johnstown Road,Морепродукты,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2004-12-27,10567,2 967 542,125 80,Мидии,,0.0,40.24,3,10,82.74,108.02,99.9,20,0,324.06,75.84,"Корк, Ирландия"
2817 Milton Dr.,Фрукты,Альбукерке,Фуд Стайл,ТрансАвтоГруз,Malcolm X,США,2004-12-28,10272,(505) 555-5939,87110,Груша,New Mexico,0.0,40.25,40,20,7.53,7.81,8.5,0,70,312.4,11.2,"Альбукерке, США"
2817 Milton Dr.,Овощи,Альбукерке,Фуд Стайл,ТрансАвтоГруз,Malcolm X,США,2004-12-28,10272,(505) 555-5939,87110,Перец болгарский,New Mexico,0.0,40.25,24,30,8.96,11.76,11.8,14,0,282.24,67.2,"Альбукерке, США"
2817 Milton Dr.,Кондитерские изделия,Альбукерке,Фуд Стайл,ТрансАвтоГруз,Malcolm X,США,2004-12-28,10272,(505) 555-5939,87110,Блинчики с начинкой,New Mexico,0.0,40.25,6,1,64.49,88.25,81.0,40,0,529.5,142.56,"Альбукерке, США"
"184, chauss?e de Tournai",Фрукты,Лилль,Эконом маркет,ТрансСервис,Jaques Wilneuve,Франция,2004-12-28,10555,20.16.10.16,59000,Абрикос,,0.2,50.88,18,100,3.9,4.1,4.5,20,0,73.8,3.6,"Лилль, Франция"
"184, chauss?e de Tournai",Кондитерские изделия,Лилль,Эконом маркет,ТрансСервис,Jaques Wilneuve,Франция,2004-12-28,10555,20.16.10.16,59000,Печенье сахарное,,0.2,50.88,35,1,7.4,8.5,9.2,25,0,297.5,38.5,"Лилль, Франция"
"184, chauss?e de Tournai",Мясо/Птица,Лилль,Эконом маркет,ТрансСервис,Jaques Wilneuve,Франция,2004-12-28,10555,20.16.10.16,59000,Свинина,,0.2,50.88,40,15,34.17,39.9,38.0,21,10,1596.0,229.2,"Лилль, Франция"
"184, chauss?e de Tournai",Морепродукты,Лилль,Эконом маркет,ТрансСервис,Jaques Wilneuve,Франция,2004-12-28,10555,20.16.10.16,59000,Мидии,,0.2,50.88,20,10,82.74,101.71,99.9,20,0,2034.2,379.4,"Лилль, Франция"
"184, chauss?e de Tournai",Крупы,Лилль,Эконом маркет,ТрансСервис,Jaques Wilneuve,Франция,2004-12-28,10555,20.16.10.16,59000,Пшенная крупа,,0.2,50.88,30,21,20.36,21.46,23.25,35,0,643.8,33.0,"Лилль, Франция"
Vinb?ltet 34,Овощи,Копенгаген,Род и Вит,ТрансАвтоГруз,Preben Elkjaer,Дания,2004-12-29,10556,31 12 34 56,1734,Перец болгарский,,0.0,70.9,24,30,8.96,11.72,11.8,14,0,281.28,66.24,"Копенгаген, Дания"
35 King George,Фрукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-12-31,10465,(171) 555-0297,WX1 6LT,Абрикос,,0.0,64.55,25,100,3.9,4.41,4.5,20,0,110.25,12.75,"Лондон, Англия"
35 King George,Молочные продукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-12-31,10465,(171) 555-0297,WX1 6LT,Творог 1%,,0.0,64.55,25,1,13.57,15.13,16.25,65,0,378.25,39.0,"Лондон, Англия"
35 King George,Морепродукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-12-31,10465,(171) 555-0297,WX1 6LT,Креветки,,0.1,64.55,18,1,100.74,133.68,123.79,0,0,2406.24,592.92,"Лондон, Англия"
35 King George,Морепродукты,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-12-31,10465,(171) 555-0297,WX1 6LT,Крабовые палочки,,0.1,64.55,30,100,8.44,10.29,9.5,5,70,308.7,55.5,"Лондон, Англия"
35 King George,Приправы,Лондон,Продуктовый магазин,ТрансАвтоГруз,Greg Thatcher,Англия,2004-12-31,10465,(171) 555-0297,WX1 6LT,Имбирь,,0.0,64.55,20,1,16.34,19.35,18.4,123,0,387.0,60.2,"Лондон, Англия"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,Кондитерские изделия,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Венесуэла,2005-01-03,10499,(9) 331-6954,3508,Десерт творожный,,0.0,38.53,25,1,15.43,19.06,20.0,10,60,476.5,90.75,"Баргусимето, Венесуэла"
Carrera 52 con Ave. Bol?var #65-98 Llano Largo,Крупы,Баргусимето,Лос Ватос Локос,ТрансАвтоГруз,Tony Montana,Венесуэла,2005-01-03,10499,(9) 331-6954,3508,Рис,,0.0,38.53,20,1,36.81,43.64,45.6,26,0,872.8,136.6,"Баргусимето, Венесуэла"
Calle Dr. Jorge Cash 321,Овощи,Мехико,Еда сегодня и завтра,ТрансАвтоГруз,Francisca Font Barcel?,Мексика,2005-01-05,10502,(5) 552-3745,5033,Помидор черри,,0.0,75.02,30,26,46.1,63.32,60.0,52,0,1899.6,516.6,"Мехико, Мексика"
Calle Dr. Jorge Cash 321,Овощи,Мехико,Еда сегодня и завтра,ТрансАвтоГруз,Francisca Font Barcel?,Мексика,2005-01-05,10502,(5) 552-3745,5033,Патиссон,,0.0,75.02,6,6,52.38,66.83,60.8,0,0,400.98,86.7,"Мехико, Мексика"
Calle Dr. Jorge Cash 321,Морепродукты,Мехико,Еда сегодня и завтра,ТрансАвтоГруз,Francisca Font Barcel?,Мексика,2005-01-05,10502,(5) 552-3745,5033,Крабовые палочки,,0.0,75.02,21,100,8.44,10.0,9.5,5,70,210.0,32.76,"Мехико, Мексика"
"Suite 3B""",Фрукты,Сиэттл,Нирвана,ТрансАвтоГруз,Alice Chain,США,2005-01-06,10504,(206) 555-4112,98128,Апельсин,Washington,0.0,37.89,12,10,16.17,20.5,19.0,17,40,246.0,51.96,"Сиэттл, США"
8 Johnstown Road,Овощи,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2005-01-06,10503,2 967 542,125 80,Чеснок,,0.0,29.87,20,40,8.68,9.87,10.05,76,0,197.4,23.8,"Корк, Ирландия"
"Suite 3B""",Овощи,Сиэттл,Нирвана,ТрансАвтоГруз,Alice Chain,США,2005-01-06,10504,(206) 555-4112,98128,Патиссон,Washington,0.0,37.89,10,6,52.38,62.32,60.8,0,0,623.2,99.4,"Сиэттл, США"
"Suite 3B""",Кондитерские изделия,Сиэттл,Нирвана,ТрансАвтоГруз,Alice Chain,США,2005-01-06,10504,(206) 555-4112,98128,Пирожное Наполеон,Washington,0.0,37.89,12,1,8.78,10.75,10.0,3,40,129.0,23.64,"Сиэттл, США"
"Suite 3B""",Кондитерские изделия,Сиэттл,Нирвана,ТрансАвтоГруз,Alice Chain,США,2005-01-06,10504,(206) 555-4112,98128,Шоколад Снежинка,Washington,0.0,37.89,25,20,22.24,26.02,26.5,113,0,650.5,94.5,"Сиэттл, США"
8 Johnstown Road,Крупы,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2005-01-06,10503,2 967 542,125 80,Пшенная крупа,,0.0,29.87,70,21,20.36,24.91,23.25,35,0,1743.7,318.5,"Корк, Ирландия"
Torikatu 38,Крупы,Оулу,Пееркии Уурк,ТрансАвтоГруз,Miiko Heikill?,Финляндия,2005-01-08,10412,981-443655,90110,Пшенная крупа,,0.1,37.28,20,21,20.36,25.49,23.25,35,0,509.8,102.6,"Оулу, Финляндия"
43 rue St. Laurent,Кондитерские изделия,Монреаль,Давенпорт,АвтоЛогистика,James Belucci,Канада,2005-01-09,10505,(514) 555-8054,H1J 1C3,Шоколад Молочное Чудо,Quebec,0.0,35.9,3,30,25.39,31.36,29.3,17,0,94.08,17.91,"Монреаль, Канада"
Maubelstr. 90,Фрукты,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2005-01-10,10506,0555-09876,14776,Ананас,,0.1,66.45,14,15,24.98,30.75,29.0,15,10,430.5,80.78,"Бранденбург, Германия"
Maubelstr. 90,Кондитерские изделия,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2005-01-10,10506,0555-09876,14776,Пирожное Медовик,,0.1,66.45,18,1,10.85,14.77,14.0,76,0,265.86,70.56,"Бранденбург, Германия"
Mehrheimerstr. 369,Овощи,Кёльн,Кёльн,ТрансАвтоГруз,Herman Schlusse,Германия,2005-01-11,10508,0221-0644327,50739,Кукуруза,,0.0,60.12,10,3,48.17,64.02,60.0,69,0,640.2,158.5,"Кёльн, Германия"
Mehrheimerstr. 369,Приправы,Кёльн,Кёльн,ТрансАвтоГруз,Herman Schlusse,Германия,2005-01-11,10508,0221-0644327,50739,Корица,,0.0,60.12,10,25,21.11,24.09,25.0,24,0,240.9,29.8,"Кёльн, Германия"
2732 Baker Blvd.,Фрукты,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2005-01-18,10390,(503) 555-7555,97403,Груша,Oregon,0.1,21.89,60,20,7.53,9.03,8.5,0,70,541.8,90.0,"Юджин, США"
2732 Baker Blvd.,Овощи,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2005-01-18,10390,(503) 555-7555,97403,Перец болгарский,Oregon,0.1,21.89,24,30,8.96,10.94,11.8,14,0,262.56,47.52,"Юджин, США"
2732 Baker Blvd.,Молочные продукты,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2005-01-18,10390,(503) 555-7555,97403,Творожный сырок,Oregon,0.1,21.89,40,14,5.17,6.56,6.0,20,0,262.4,55.6,"Юджин, США"
2732 Baker Blvd.,Приправы,Юджин,Магазинчик на Углу,АвтоЛогистика,Ross The Boss,США,2005-01-18,10390,(503) 555-7555,97403,Укроп,Oregon,0.0,21.89,45,40,9.07,10.83,12.0,95,0,487.35,79.2,"Юджин, США"
"Av. Brasil, 442",Фрукты,Кампинас,Карнавал продуктов,ТрансАвтоГруз,Anna Figo,Бразилия,2005-01-18,10423,(11) 555-9482,04876-786,Груша,,0.0,49.89,14,20,7.53,7.69,8.5,0,70,107.66,2.24,"Кампинас, Бразилия"
"Av. Brasil, 442",Кондитерские изделия,Кампинас,Карнавал продуктов,ТрансАвтоГруз,Anna Figo,Бразилия,2005-01-18,10423,(11) 555-9482,04876-786,Чупа-Чупс,,0.0,49.89,20,105,6.69,8.92,8.5,79,0,178.4,44.6,"Кампинас, Бразилия"
Geislweg 14,Крупы,Зальцбург,Формат,ТрансСервис,Herbert Bernstorf,Австрия,2005-01-22,10427,6562-9722,5020,Пшенная крупа,,0.0,50.46,35,21,20.36,24.33,23.25,35,0,851.55,138.95,"Зальцбург, Австрия"
Maubelstr. 90,Молочные продукты,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2005-02-01,10468,0555-09876,14776,Молоко 1%,,0.0,56.09,15,1,10.48,11.59,12.0,17,10,173.85,16.65,"Бранденбург, Германия"
Maubelstr. 90,Приправы,Бранденбург,Дешево,ТрансАвтоГруз,Dieter Rummernige,Германия,2005-02-01,10468,0555-09876,14776,Прованские травы,,0.0,56.09,8,1,22.71,23.55,25.89,10,0,188.4,6.72,"Бранденбург, Германия"
722 DaVinci Blvd.,Овощи,Киркланд,Бонд,АвтоЛогистика,Mark Stark,США,2005-02-12,10511,(206) 555-8257,98034,Огурец,Washington,0.15,30.11,15,15,19.34,23.86,22.0,53,0,357.9,67.8,"Киркланд, США"
722 DaVinci Blvd.,Овощи,Киркланд,Бонд,АвтоЛогистика,Mark Stark,США,2005-02-12,10511,(206) 555-8257,98034,Картофель Сорт 1,Washington,0.15,30.11,10,20,16.14,21.97,20.0,6,0,219.7,58.3,"Киркланд, США"
722 DaVinci Blvd.,Крупы,Киркланд,Бонд,АвтоЛогистика,Mark Stark,США,2005-02-12,10511,(206) 555-8257,98034,Гречневая крупа,Washington,0.15,30.11,50,40,33.11,42.48,40.0,15,0,2124.0,468.5,"Киркланд, США"
El Barrio Chino 12,Кондитерские изделия,Мехико,Маркет Кампани,ТрансАвтоГруз,Speedy Gonzales,Мексика,2005-02-12,10259,(5) 555-3392,5021,Пирожное Наполеон,,0.0,30.11,10,1,8.78,10.14,10.0,3,40,101.4,13.6,"Мехико, Мексика"
El Barrio Chino 12,Приправы,Мехико,Маркет Кампани,ТрансАвтоГруз,Speedy Gonzales,Мексика,2005-02-12,10259,(5) 555-3392,5021,Хмели-Сунели,,0.0,30.11,1,21,3.43,4.37,4.0,11,50,4.37,0.94,"Мехико, Мексика"
"Av. Copacabana, 267",Кондитерские изделия,Рио де Жанейро,Минидисконт,ТрансАвтоГруз,Thom? Lindao,Бразилия,2005-02-14,10481,(21) 555-3412,02389-890,Десерт творожный,,0.0,48.38,24,1,15.43,18.95,20.0,10,60,454.8,84.48,"Рио де Жанейро, Бразилия"
"Av. Copacabana, 267",Кондитерские изделия,Рио де Жанейро,Минидисконт,ТрансАвтоГруз,Thom? Lindao,Бразилия,2005-02-14,10481,(21) 555-3412,02389-890,Сладкий снек,,0.0,48.38,40,53,4.44,5.12,5.0,19,0,204.8,27.2,"Рио де Жанейро, Бразилия"
722 DaVinci Blvd.,Фрукты,Киркланд,Бонд,АвтоЛогистика,Mark Stark,США,2005-02-16,10514,(206) 555-8257,98034,Хурма,Washington,0.0,40.04,50,1,6.61,7.37,7.75,125,0,368.5,38.0,"Киркланд, США"
722 DaVinci Blvd.,Овощи,Киркланд,Бонд,АвтоЛогистика,Mark Stark,США,2005-02-16,10514,(206) 555-8257,98034,Чеснок,Washington,0.0,40.04,39,40,8.68,11.0,10.05,76,0,429.0,90.48,"Киркланд, США"
722 DaVinci Blvd.,Кондитерские изделия,Киркланд,Бонд,АвтоЛогистика,Mark Stark,США,2005-02-16,10514,(206) 555-8257,98034,Блинчики с начинкой,Washington,0.0,40.04,39,1,64.49,88.03,81.0,40,0,3433.17,918.06,"Киркланд, США"
722 DaVinci Blvd.,Мясо/Птица,Киркланд,Бонд,АвтоЛогистика,Mark Stark,США,2005-02-16,10514,(206) 555-8257,98034,Свинина,Washington,0.0,40.04,70,15,34.17,38.21,38.0,21,10,2674.7,282.8,"Киркланд, США"
722 DaVinci Blvd.,Крупы,Киркланд,Бонд,АвтоЛогистика,Mark Stark,США,2005-02-16,10514,(206) 555-8257,98034,Рис,Washington,0.0,40.04,35,1,36.81,46.23,45.6,26,0,1618.05,329.7,"Киркланд, США"
8 Johnstown Road,Мясо/Птица,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2005-02-18,10516,2 967 542,125 80,Утка,,0.0,78.18,20,1,10.95,14.57,14.0,26,0,291.4,72.4,"Корк, Ирландия"
8 Johnstown Road,Приправы,Корк,Волынка,ТрансАвтоГруз,Robert Bolero,Ирландия,2005-02-18,10516,2 967 542,125 80,Карри,,0.1,78.18,25,18,22.09,27.25,25.5,42,0,681.25,129.0,"Корк, Ирландия"
